Correspondence between the short and original species names from:
	/home/z/BioNetGen-2.5.2/e5.net
s48	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U,p3~U!1,p4~U!2,p5~U!3)
s49	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~P,p5~U)
s50	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U,p5~P)
s51	: E(s!1).S(p1~U,p2~U,p3~P,p4~U!1,p5~U)
s52	: E(s!1).S(p1~U,p2~U,p3~P,p4~U,p5~U!1)
s53	: F(s!1).S(p1~U,p2~U,p3~P!1,p4~U,p5~U)
s54	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1,p5~P)
s55	: E(s!1).S(p1~U,p2~U,p3~U,p4~P,p5~U!1)
s56	: F(s!1).S(p1~U,p2~U,p3~U,p4~P!1,p5~U)
s57	: F(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~P!1)
s58	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4,p5~U)
s59	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~U,p5~U!4)
s60	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~P,p4~U,p5~U)
s61	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U,p4~U!3,p5~U!4)
s62	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~P,p5~U)
s63	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~U,p5~P)
s64	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U!2,p4~U,p5~U)
s65	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U,p4~U!2,p5~U)
s66	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U,p4~U,p5~U!2)
s67	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~U,p4~U,p5~U)
s68	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U,p3~U!2,p4~U!3,p5~U!4)
s69	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~P,p5~U)
s70	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~U,p5~P)
s71	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~P,p4~U!2,p5~U)
s72	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~P,p4~U,p5~U!2)
s73	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P!2,p4~U,p5~U)
s74	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U,p4~U!2,p5~P)
s75	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U,p4~P,p5~U!2)
s76	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~U,p4~P!2,p5~U)
s77	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~U,p4~U,p5~P!2)
s78	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U!2,p4~U,p5~U)
s79	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U,p4~U!2,p5~U)
s80	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U,p4~U,p5~U!2)
s81	: S(p1~P,p2~P,p3~U,p4~U,p5~U)
s82	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U!1,p4~U!2,p5~U)
s83	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U!1,p4~U,p5~U!2)
s84	: S(p1~P,p2~U,p3~P,p4~U,p5~U)
s85	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U,p4~U!1,p5~U!2)
s86	: S(p1~P,p2~U,p3~U,p4~P,p5~U)
s87	: S(p1~P,p2~U,p3~U,p4~U,p5~P)
s88	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~U,p4~U,p5~U)
s89	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U!1,p4~U,p5~U)
s90	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U,p4~U!1,p5~U)
s91	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U,p4~U,p5~U!1)
s92	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U,p2~U!1,p3~U!2,p4~U!3,p5~U!4)
s93	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U!2,p4~P,p5~U)
s94	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U!2,p4~U,p5~P)
s95	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~P,p4~U!2,p5~U)
s96	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~P,p4~U,p5~U!2)
s97	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P!2,p4~U,p5~U)
s98	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U,p4~U!2,p5~P)
s99	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U,p4~P,p5~U!2)
s100	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~U,p4~P!2,p5~U)
s101	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~U,p4~U,p5~P!2)
s102	: E(s!1).E(s!2).S(p1~U,p2~P,p3~U!1,p4~U!2,p5~U)
s103	: E(s!1).E(s!2).S(p1~U,p2~P,p3~U!1,p4~U,p5~U!2)
s104	: S(p1~U,p2~P,p3~P,p4~U,p5~U)
s105	: E(s!1).E(s!2).S(p1~U,p2~P,p3~U,p4~U!1,p5~U!2)
s106	: S(p1~U,p2~P,p3~U,p4~P,p5~U)
s107	: S(p1~U,p2~P,p3~U,p4~U,p5~P)
s108	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U!1,p4~U,p5~U)
s109	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U,p4~U!1,p5~U)
s110	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U,p4~U,p5~U!1)
s111	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U!1,p4~U!2,p5~P)
s112	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U!1,p4~P,p5~U!2)
s113	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U!1,p4~P!2,p5~U)
s114	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U!1,p4~U,p5~P!2)
s115	: E(s!1).E(s!2).S(p1~U,p2~U,p3~P,p4~U!1,p5~U!2)
s116	: S(p1~U,p2~U,p3~P,p4~P,p5~U)
s117	: S(p1~U,p2~U,p3~P,p4~U,p5~P)
s118	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P!2,p4~U!1,p5~U)
s119	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P!2,p4~U,p5~U!1)
s120	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U,p4~U!1,p5~P!2)
s121	: S(p1~U,p2~U,p3~U,p4~P,p5~P)
s122	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U,p4~P!2,p5~U!1)
s123	: E(s!1).E(s!2).E(s!3).E(s!4).E(s!5).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4,p5~U!5)
s124	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U!3,p4~P,p5~U)
s125	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U!3,p4~U,p5~P)
s126	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~P,p4~U!3,p5~U)
s127	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~P,p4~U,p5~U!3)
s128	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P!3,p4~U,p5~U)
s129	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U,p4~U!3,p5~P)
s130	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U,p4~P,p5~U!3)
s131	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~U,p4~P!3,p5~U)
s132	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~U,p4~U,p5~P!3)
s133	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~U!2,p4~U!3,p5~U)
s134	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~U!2,p4~U,p5~U!3)
s135	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~U,p5~U)
s136	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~U,p4~U!2,p5~U!3)
s137	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~P,p5~U)
s138	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~U,p5~P)
s139	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U!2,p4~U,p5~U)
s140	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U,p4~U!2,p5~U)
s141	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U,p4~U,p5~U!2)
s142	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U!2,p4~U!3,p5~P)
s143	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U!2,p4~P,p5~U!3)
s144	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U!2,p4~P!3,p5~U)
s145	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U!2,p4~U,p5~P!3)
s146	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~P,p4~U!2,p5~U!3)
s147	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~P,p5~U)
s148	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~U,p5~P)
s149	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!3,p4~U!2,p5~U)
s150	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!3,p4~U,p5~U!2)
s151	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U,p4~U!2,p5~P!3)
s152	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~P,p5~P)
s153	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U,p4~P!3,p5~U!2)
s154	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~U!2,p4~U!3,p5~U)
s155	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~U!2,p4~U,p5~U!3)
s156	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~U,p5~U)
s157	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~U,p4~U!2,p5~U!3)
s158	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~P,p5~U)
s159	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~U,p5~P)
s160	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~U,p5~U)
s161	: E(s!1).S(p1~P,p2~P,p3~U,p4~U!1,p5~U)
s162	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U!1)
s163	: F(s!1).S(p1~P,p2~P!1,p3~U,p4~U,p5~U)
s164	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U,p3~U!1,p4~U!2,p5~U!3)
s165	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~P,p5~U)
s166	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~U,p5~P)
s167	: E(s!1).S(p1~P,p2~U,p3~P,p4~U!1,p5~U)
s168	: E(s!1).S(p1~P,p2~U,p3~P,p4~U,p5~U!1)
s169	: F(s!1).S(p1~P,p2~U,p3~P!1,p4~U,p5~U)
s170	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1,p5~P)
s171	: E(s!1).S(p1~P,p2~U,p3~U,p4~P,p5~U!1)
s172	: F(s!1).S(p1~P,p2~U,p3~U,p4~P!1,p5~U)
s173	: F(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~P!1)
s174	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U!2,p4~U,p5~U)
s175	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U,p4~U!2,p5~U)
s176	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U,p4~U,p5~U!2)
s177	: F(s!1).S(p1~P!1,p2~P,p3~U,p4~U,p5~U)
s178	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~U!1,p4~U!2,p5~U)
s179	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~U!1,p4~U,p5~U!2)
s180	: F(s!1).S(p1~P!1,p2~U,p3~P,p4~U,p5~U)
s181	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~U,p4~U!1,p5~U!2)
s182	: F(s!1).S(p1~P!1,p2~U,p3~U,p4~P,p5~U)
s183	: F(s!1).S(p1~P!1,p2~U,p3~U,p4~U,p5~P)
s184	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U!2,p4~U!3,p5~P)
s185	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U!2,p4~P,p5~U!3)
s186	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U!2,p4~P!3,p5~U)
s187	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U!2,p4~U,p5~P!3)
s188	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~P,p4~U!2,p5~U!3)
s189	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~P,p5~U)
s190	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~U,p5~P)
s191	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!3,p4~U!2,p5~U)
s192	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!3,p4~U,p5~U!2)
s193	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U,p4~U!2,p5~P!3)
s194	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~P,p5~P)
s195	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U,p4~P!3,p5~U!2)
s196	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~P,p3~U!1,p4~U!2,p5~U!3)
s197	: E(s!1).S(p1~U,p2~P,p3~U!1,p4~P,p5~U)
s198	: E(s!1).S(p1~U,p2~P,p3~U!1,p4~U,p5~P)
s199	: E(s!1).S(p1~U,p2~P,p3~P,p4~U!1,p5~U)
s200	: E(s!1).S(p1~U,p2~P,p3~P,p4~U,p5~U!1)
s201	: F(s!1).S(p1~U,p2~P,p3~P!1,p4~U,p5~U)
s202	: E(s!1).S(p1~U,p2~P,p3~U,p4~U!1,p5~P)
s203	: E(s!1).S(p1~U,p2~P,p3~U,p4~P,p5~U!1)
s204	: F(s!1).S(p1~U,p2~P,p3~U,p4~P!1,p5~U)
s205	: F(s!1).S(p1~U,p2~P,p3~U,p4~U,p5~P!1)
s206	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~U!1,p4~U!2,p5~U)
s207	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~U!1,p4~U,p5~U!2)
s208	: F(s!1).S(p1~U,p2~P!1,p3~P,p4~U,p5~U)
s209	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~U,p4~U!1,p5~U!2)
s210	: F(s!1).S(p1~U,p2~P!1,p3~U,p4~P,p5~U)
s211	: F(s!1).S(p1~U,p2~P!1,p3~U,p4~U,p5~P)
s212	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U,p3~U!1,p4~U!2,p5~P!3)
s213	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~P,p5~P)
s214	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U,p3~U!1,p4~P!3,p5~U!2)
s215	: E(s!1).S(p1~U,p2~U,p3~P,p4~U!1,p5~P)
s216	: E(s!1).S(p1~U,p2~U,p3~P,p4~P,p5~U!1)
s217	: F(s!1).S(p1~U,p2~U,p3~P,p4~P!1,p5~U)
s218	: F(s!1).S(p1~U,p2~U,p3~P,p4~U,p5~P!1)
s219	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U,p3~P!3,p4~U!1,p5~U!2)
s220	: F(s!1).S(p1~U,p2~U,p3~P!1,p4~P,p5~U)
s221	: F(s!1).S(p1~U,p2~U,p3~P!1,p4~U,p5~P)
s222	: F(s!1).S(p1~U,p2~U,p3~U,p4~P,p5~P!1)
s223	: F(s!1).S(p1~U,p2~U,p3~U,p4~P!1,p5~P)
s224	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4,p5~P)
s225	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~P,p5~U!4)
s226	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~P!4,p5~U)
s227	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~U,p5~P!4)
s228	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~P,p4~U!3,p5~U!4)
s229	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~P,p4~P,p5~U)
s230	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~P,p4~U,p5~P)
s231	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!4,p4~U!3,p5~U)
s232	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!4,p4~U,p5~U!3)
s233	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U,p4~U!3,p5~P!4)
s234	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~P,p5~P)
s235	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U,p4~P!4,p5~U!3)
s236	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~P,p3~U!2,p4~U!3,p5~U!4)
s237	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U!2,p4~P,p5~U)
s238	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U!2,p4~U,p5~P)
s239	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~P,p4~U!2,p5~U)
s240	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~P,p4~U,p5~U!2)
s241	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P!2,p4~U,p5~U)
s242	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U,p4~U!2,p5~P)
s243	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U,p4~P,p5~U!2)
s244	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~U,p4~P!2,p5~U)
s245	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~U,p4~U,p5~P!2)
s246	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~U!2,p4~U!3,p5~U)
s247	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~U!2,p4~U,p5~U!3)
s248	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~P,p4~U,p5~U)
s249	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~U,p4~U!2,p5~U!3)
s250	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~U,p4~P,p5~U)
s251	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~U,p4~U,p5~P)
s252	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U,p3~U!2,p4~U!3,p5~P!4)
s253	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~P,p5~P)
s254	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U,p3~U!2,p4~P!4,p5~U!3)
s255	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~P,p4~U!2,p5~P)
s256	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~P,p4~P,p5~U!2)
s257	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P,p4~P!2,p5~U)
s258	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P,p4~U,p5~P!2)
s259	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U,p3~P!4,p4~U!2,p5~U!3)
s260	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P!2,p4~P,p5~U)
s261	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P!2,p4~U,p5~P)
s262	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~U,p4~P,p5~P!2)
s263	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~U,p4~P!2,p5~P)
s264	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~P,p2~U!1,p3~U!2,p4~U!3,p5~U!4)
s265	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U!2,p4~P,p5~U)
s266	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U!2,p4~U,p5~P)
s267	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~P,p4~U!2,p5~U)
s268	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~P,p4~U,p5~U!2)
s269	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~P!2,p4~U,p5~U)
s270	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U,p4~U!2,p5~P)
s271	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U,p4~P,p5~U!2)
s272	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~U,p4~P!2,p5~U)
s273	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~U,p4~U,p5~P!2)
s274	: E(s!1).E(s!2).S(p1~P,p2~P,p3~U!1,p4~U!2,p5~U)
s275	: E(s!1).E(s!2).S(p1~P,p2~P,p3~U!1,p4~U,p5~U!2)
s276	: S(p1~P,p2~P,p3~P,p4~U,p5~U)
s277	: E(s!1).E(s!2).S(p1~P,p2~P,p3~U,p4~U!1,p5~U!2)
s278	: S(p1~P,p2~P,p3~U,p4~P,p5~U)
s279	: S(p1~P,p2~P,p3~U,p4~U,p5~P)
s280	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U!1,p4~U,p5~U)
s281	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U,p4~U!1,p5~U)
s282	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U,p4~U,p5~U!1)
s283	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U!1,p4~U!2,p5~P)
s284	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U!1,p4~P,p5~U!2)
s285	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U!1,p4~P!2,p5~U)
s286	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U!1,p4~U,p5~P!2)
s287	: E(s!1).E(s!2).S(p1~P,p2~U,p3~P,p4~U!1,p5~U!2)
s288	: S(p1~P,p2~U,p3~P,p4~P,p5~U)
s289	: S(p1~P,p2~U,p3~P,p4~U,p5~P)
s290	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P!2,p4~U!1,p5~U)
s291	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P!2,p4~U,p5~U!1)
s292	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U,p4~U!1,p5~P!2)
s293	: S(p1~P,p2~U,p3~U,p4~P,p5~P)
